eoshuobifund, 0, 1200000, 23563423781400000.00000000000000000, 23562858273265160.00000000000000000, 1, 565508134841.69335937500000000, 199.99040046864914%, ["atticlabeosb","bitfinexeos1","blockgenicbp","btccpooleos1","cochainworld","eos42freedom","eosantpoolbp","eosauthority","eosbeijingbp","eosbixinboot","eoschaintech","eoscleanerbp","eoscybexiobp","eosflytomars","eosgenblockp","eoshuobipool","eosiosg11111","eosliquideos","eospaceioeos","eospacificbp","eosplayworld","eosstorebest","eossv12eossv","eosuestciobp","helloeoscnbp","starteosiobp","unlimitedeos","zbeosbp11111"]
madeofstarks, 0, 600, 39429243687685064.00000000000000000, 39429243404931000.00000000000000000, 1, 282754067.42084664106369019, 199.9999971315294%, ["alohaeosprod","atticlabeosb","cochainworld","cryptolions1","eosdacserver","eosfishrocks","eosflytomars","eoshenzhenio","eosliquideos","eosnewyorkio","eosriobrazil","eostribeprod","hkeoshkeosbp","sheos21sheos"]
bitfinexvp13, 0, 0, 15434251991532876.00000000000000000, 15434251991532876.00000000000000000, 1, 0, 0%, ["argentinaeos","bitfinexeos1","blocksmithio","cypherglasss","eos42freedom","eosamsterdam","eoscanadacom","eoscleanerbp","eosdacserver","eosdotwikibp","eosfishrocks","eosgenblockp","eoshuobipool","eosiosg11111","eosnewyorkio","eosriobrazil","eosswedenorg","eostribeprod","jedaaaaaaaaa","libertyblock","moreisfuture","superoneiobp","teamgreymass","tokenika4eos","zbeosbp11111"]
willshotmoon, 0, 14000, 14138650228171288.00000000000000000, 14138643630576382.00000000000000000, 1, 6597594906.48642158508300781, 199.99981334592138%, ["atticlabeosb","cochainworld","eos42freedom","eosbixinboot","eoseouldotio","eosflytomars","eoshenzhenio","eoshuobipool","eosiomeetone","eosisgravity","eoslaomaocom","eosliquideos","eosmotioneos","eosnationftw","eosnewyorkio","eospaceioeos","eospacificbp","eosstorebest","eossv12eossv","eosswedenorg","jrrcryptoeos","oraclegogogo","sheleaders21","zbeosbp11111"]
bitfinexvp11, 0, 0, 11575594096350476.00000000000000000, 11575594096350476.00000000000000000, 1, 0, 0%, ["bitfinexeos1","blocksmithio","cypherglasss","eos42freedom","eosauthority","eoscanadacom","eoscleanerbp","eosdacserver","eosdotwikibp","eosdublinwow","eosfishrocks","eosgenblockp","eoshuobipool","eosiosg11111","eosliquideos","eosmetaliobp","eosriobrazil","eosswedenorg","eostitanprod","eosyskoreabp","helloeoscnbp","jedaaaaaaaaa","libertyblock","starteosiobp","teamgreymass"]
hptproxy2222, 0, 0, 14137722692570274.00000000000000000, 14137722692570274.00000000000000000, 1, 0, 0%, ["cochainworld","eosbeijingbp","eosbixinboot","eoschaintech","eosflytomars","eosgenblockp","eosiosg11111","eospaceioeos","eosstorebest","fostopfostop","qxeosqxeosbp","unlimitedeos"]
divinerapier, 0, 110000, 14137774530815968.00000000000000000, 14137722692570274.00000000000000000, 1, 51838245693.82188415527343750, 199.99853334609318%, ["btccpooleos1","cochainworld","eosbeijingbp","eosbixinboot","eoscannonchn","eoschaintech","eosflytomars","eosgenblockp","eoshuobipool","eosiosg11111","eospaceioeos","eospacificbp","eosstorebest","eosvolgabpru","starteosiobp","unlimitedeos","zbeosbp11111"]
hptproxy1111, 0, 0, 14137722692570274.00000000000000000, 14137722692570274.00000000000000000, 1, 0, 0%, ["atticlabeosb","cochainworld","eosbeijingbp","eosbixinboot","eoschaintech","eosflytomars","eosgenblockp","eosiosg11111","eospaceioeos","eospacificbp","eosstorebest","eosvolgabpru","fostopfostop","jedaaaaaaaaa","qxeosqxeosbp","unlimitedeos"]
hptproxy3333, 0, 0, 14137722692570274.00000000000000000, 14137722692570274.00000000000000000, 1, 0, 0%, ["cochainworld","eosbeijingbp","eosbixinboot","eoschaintech","eosflytomars","eosgenblockp","eosiosg11111","eospaceioeos","eosstorebest","unlimitedeos"]
bitfinexvp24, 0, 6000, 11422323190360988.00000000000000000, 11422320400260644.00000000000000000, 1, 2827540674.20846652984619141, 199.99990098196568%, ["bitfinexeos1","cypherglasss","eos42freedom","eoscanadacom","eoscleanerbp","eosdotwikibp","eosfishrocks","eosgenblockp","eoshuobipool","eoslaomaocom","eosnewyorkio","eosswedenorg","eostitanprod","eosukblocpro","eosyskoreabp","helloeoscnbp","jedaaaaaaaaa","libertyblock","oraclegogogo","starteosiobp","zbeosbp11111"]
bitfinexvp15, 0, 6000, 11422323190360988.00000000000000000, 11422320400260644.00000000000000000, 1, 2827540674.20846652984619141, 199.99990098196568%, ["argentinaeos","bitfinexeos1","blocksmithio","cypherglasss","eos42freedom","eosauthority","eoscleanerbp","eoscybexiobp","eosdotwikibp","eosfishrocks","eosgenblockp","eoslaomaocom","eosliquideos","eosmetaliobp","eosnewyorkio","eosriobrazil","eostitanprod","eostribeprod","eosukblocpro","eosvenezuela","jedaaaaaaaaa","libertyblock","moreisfuture","oraclegogogo","starteosiobp","superoneiobp","zbeosbp11111"]
